BankNumber,Long Name,BankName,Y1FININV06,Y1FININV07,Y1FININV08,Y1FININV09,Y1FININV10,Y2LOANS06,Y2LOANS07,Y2LOANS08,Y2LOANS09,Y2LOANS10,X1FINFUNDS06,X1FINFUNDS07,X1FINFUNDS08,X1FINFUNDS09,X1FINFUNDS10,X2LABOR06,X2LABOR07,X2LABOR08,X2LABOR09,X2LABOR10,X3CAPITAL06,X3CAPITAL07,X3CAPITAL08,X3CAPITAL09,X3CAPITAL10,P1FININV06,P1FININV07,P1FININV08,P1FININV09,P1FININV10,P2LOANS06,P2LOANS07,P2LOANS08,P2LOANS09,P2LOANS10,W1FINFUNDS06,W1FINFUNDS07,W1FINFUNDS08,W1FINFUNDS09,W1FINFUNDS10,W2LABOR06,W2LABOR07,W2LABOR08,W2LABOR09,W2LABOR10,W3CAPITAL06,W3CAPITAL07,W3CAPITAL08,W3CAPITAL09,W3CAPITAL10
13,Union Bank,Union Bank,50949,69597,59744,20218,13865,208782,207696,182784,171559,191209,290809,274434,286780,280951,295386,3637,3390,3083,2908,2975,8488,8564,8454,8056,8051,0.1267,0.0904,0.1093,0.2436,0.3044,0.0376,0.0382,0.0409,0.0257,0.0235,0.0183,0.0225,0.0228,0.013,0.008,0.6975,0.7558,0.7055,0.6878,0.717,0.4826,0.3944,0.3715,0.3145,0.3119
14,Far Eastern Bank,Far Eastern Bank,27750,20989,19851,35852,290831,225261,225753,213730,215955,239958,281683,291763,310129,324052,344499,2312,2327,2274,2084,2378,2471,2475,2360,2230,2855,0.0958,0.0928,0.1016,0.0491,0.0059,0.0355,0.0366,0.0368,0.0218,0.0204,0.0181,0.0213,0.0218,0.0097,0.0065,0.9221,0.9042,0.9754,1.0264,1.1665,0.8325,0.8958,0.8835,0.8466,0.7625
15,E. Sun Bank,E. Sun Bank,136155,143722,128746,97586,357497,441689,517120,536513,553936,602776,565756,634390,707027,813103,936612,3760,3956,4286,4433,4583,11017,12496,12975,13886,14195,0.0519,0.0419,0.0467,0.0504,0.0153,0.0291,0.0302,0.0327,0.0184,0.019,0.0154,0.0179,0.0179,0.0077,0.0052,0.8747,0.8698,0.8626,0.8579,0.9616,0.3603,0.3244,0.3485,0.3221,0.3573
16,Cosmos Bank,Cosmos Bank,6168,888,1109,1171,1681,140005,119955,98038,74110,70222,204254,134354,124926,105435,109728,3298,3015,2255,1640,1685,7966,6847,6587,6079,6162,0.2745,1.3491,0.6213,0.4287,0.2546,0.0885,0.0872,0.0878,0.0803,0.0687,0.0181,0.0272,0.0249,0.0178,0.0089,0.9657,1.4315,1.2501,1.3311,1.1323,0.4677,0.6249,0.5663,0.3535,0.3017
17,Taishin Bank,Taishin Bank,83272,67439,80517,71350,203118,531403,564928,523838,502488,539549,664727,706148,669420,679156,741883,7268,7029,6064,5854,6236,17444,16749,16179,17799,17278,0.1168,0.0924,0.0658,0.0447,0.0192,0.0532,0.0414,0.0432,0.0268,0.023,0.0157,0.0175,0.0198,0.0089,0.005,0.9999,1.0068,1.2366,1.0333,1.0324,0.4469,0.405,0.3991,0.3059,0.3343
18,Ta Chong Bank,Ta Chong Bank,35334,19613,13117,34249,109832,244739,219270,222476,235326,262868,271936,241777,263786,306451,322836,2834,2662,2622,2850,3215,3172,2986,2838,3386,3208,0.0585,0.0557,0.0513,0.0184,0.0119,0.0424,0.0467,0.0429,0.0257,0.0224,0.0189,0.0212,0.0192,0.0086,0.0063,0.9185,0.9925,1.0117,0.9807,1.0022,0.7421,0.7458,0.759,0.5691,0.6799
19,Jih Sun Bank,Jih Sun Bank,25547,16113,6668,6102,26690,181612,168898,140673,127081,129907,211234,209183,203636,164299,182228,2260,1974,1667,1491,1529,5429,5168,4667,4403,4238,0.0663,0.0721,0.1108,0.0777,0.024,0.0483,0.0404,0.043,0.0252,0.0199,0.0179,0.0173,0.0199,0.0123,0.0055,0.8761,0.8992,0.8518,0.8786,0.8934,0.4649,0.4466,0.451,0.4034,0.3752
20,Entie Bank,Entie Bank,13862,14395,3810,12798,31500,232505,186207,183963,187810,197734,264810,239759,238251,258749,298330,1601,1565,1683,1675,1945,3878,3760,2889,2733,2114,0.1201,0.127,0.4651,0.08,0.0161,0.0367,0.043,0.0411,0.0272,0.0248,0.0149,0.0183,0.0171,0.0097,0.0063,0.6989,0.7872,0.7576,0.8364,0.8977,0.2999,0.3261,0.4521,0.3996,0.5274
21,China Trust Bank,China Trust Bank,352976,341085,440462,515042,506711,785284,803948,845733,850413,949894,1207537,1160982,1220143,1307358,1335080,7739,8401,8111,7705,9538,34902,35017,32451,33257,32436,0.0405,0.0317,0.0207,0.0129,0.0159,0.045,0.0399,0.0383,0.0251,0.0222,0.0174,0.0197,0.0181,0.0083,0.0059,1.5713,1.4454,1.5512,1.7356,1.6333,0.4903,0.4944,0.4913,0.426,0.4084
22,Sunny Bank,Sunny Bank,33710,39732,13853,6029,5532,186575,175566,168777,163474,173909,216951,213853,214357,205370,213037,2600,2460,2177,1887,1790,9686,9945,9369,9206,9116,0.0252,0.0174,0.0466,0.0317,0.028,0.033,0.0377,0.0371,0.0228,0.0228,0.0155,0.0195,0.0215,0.0123,0.0071,0.8123,0.8545,0.8558,0.7854,0.881,0.1177,0.1072,0.1103,0.0945,0.0909
23,Bank of Panhsin,Bank of Panhsin,3153,3886,3238,1675,2272,146084,130320,124438,117229,107411,160210,148355,149159,145876,143268,1603,1459,1347,1282,1270,5447,5752,6873,7067,7416,0.0381,0.0502,0.0442,0.0501,0.0326,0.0363,0.0394,0.0376,0.024,0.0256,0.0163,0.0196,0.0199,0.0116,0.007,0.8877,0.7676,0.884,0.8276,0.8653,0.163,0.1457,0.1152,0.1039,0.0999
24,Taiwan Business Bank,Taiwan Business,136284,105598,140141,150833,157870,756746,843270,895725,920988,935304,819453,882850,958712,996682,1035800,5041,5109,5216,5150,5010,14767,14734,14535,14512,14185,0.0243,0.0352,0.027,0.0146,0.0123,0.0296,0.0294,0.0312,0.0174,0.0172,0.0161,0.0174,0.0181,0.0084,0.0061,1.19,1.2259,1.1551,1.2485,1.3501,0.2212,0.2365,0.234,0.2082,0.2097
25,Taichung Bank,Taichung Bank,8750,13191,16471,14829,14528,188124,194884,204675,220300,247600,239795,240223,261274,283499,313451,1969,2057,1992,1866,1829,3941,3786,3686,3601,3243,0.0542,0.0531,0.0625,0.0173,0.0105,0.0379,0.0379,0.0367,0.0243,0.0227,0.0134,0.0143,0.0145,0.0079,0.0048,0.8939,0.9553,1.0351,0.8901,0.9601,0.2527,0.2773,0.2846,0.2824,0.3096
26,China Development ,China Development ,117749,142617,100678,100886,114442,73903,85570,80017,65631,72326,37335,51469,62425,59851,77242,540,619,595,566,567,1360,1319,1355,1287,1219,0.0071,0.0129,0.0153,0.0084,0.0064,0.0288,0.0342,0.0339,0.0208,0.0157,0.0387,0.0421,0.024,0.0049,0.0025,2.6926,2.3134,1.8067,2.1307,2.2963,0.3897,0.4443,0.3631,0.3294,0.3667
27,Hwatai Bank,Hwatai Bank,2354,2279,3751,2535,3121,77157,86626,81956,82920,88922,85686,86654,97079,96456,105657,977,977,892,865,856,1938,1915,1873,1724,1667,0.0365,0.036,0.0176,0.0146,0.0096,0.0313,0.0325,0.0378,0.0247,0.0253,0.014,0.0188,0.0206,0.0116,0.0069,0.8393,0.9028,0.8834,0.8959,1.0222,0.258,0.2757,0.2872,0.2749,0.2753
28,Cota Bank,Cota Bank,3983,11019,4468,4072,3709,81174,81109,79405,76409,85595,100370,96031,99548,102947,108685,1117,1167,1141,1095,1078,2199,2097,1344,1307,1113,0.0244,0.024,0.0669,0.0383,0.0332,0.0314,0.0346,0.038,0.0273,0.0252,0.0144,0.0178,0.0188,0.0104,0.0067,0.7601,0.7292,0.8738,0.7845,0.8674,0.2124,0.2346,0.3549,0.3229,0.3711
29,Industrial Bank of Taiwan,Industrial Bank,23720,25945,43179,27791,32293,49780,58736,67624,59673,66947,49132,61228,71103,73275,76383,287,295,297,296,282,1456,2421,2433,2615,2605,0.0098,0.0087,0.0124,0.0144,0.0111,0.0322,0.0318,0.0342,0.0225,0.0182,0.0378,0.0343,0.0297,0.0107,0.0083,1.6516,1.9661,1.2862,2.0608,2.0957,0.2349,0.1384,0.1476,0.1568,0.1555
30,Bank SinoPac,Bank SinoPac,212286,155953,183882,180368,267021,595122,608249,635901,657548,700600,792260,829854,828094,847911,936418,4740,4988,4621,4634,4670,10970,9075,9133,8890,8721,0.046,0.1039,0.1331,0.0255,0.0172,0.021,0.0353,0.0338,0.0185,0.019,0.0107,0.0181,0.0175,0.0075,0.005,0.7473,1.2156,1.3787,1.1845,1.2983,0.2353,0.4434,0.4215,0.3883,0.4137
31,Shin Kong Bank,Shin Kong Bank,21699,29291,38099,19845,17372,235686,278782,283359,286623,328574,304722,343744,366280,386804,428995,3388,3264,3196,2996,3146,14565,9393,8020,7494,7123,0.1176,0.0881,0.0594,0.0794,0.0681,0.0355,0.0321,0.0356,0.022,0.0214,0.014,0.0157,0.0179,0.0086,0.0052,0.7922,0.8499,0.8051,0.8434,0.8636,0.2237,0.3202,0.3473,0.3185,0.3264
